ref	pos	strand	convertedBaseCount_unfiltered_uniq	unconvertedBaseCount_unfiltered_uniq	convertedBaseCount_unfiltered_multi	unconvertedBaseCount_unfiltered_multi	convertedBaseCount_filtered_uniq	unconvertedBaseCount_filtered_uniq	convertedBaseCount_filtered_multi	unconvertedBaseCount_filtered_multi	u	d	ur	pval	passed
chr1	42178502	-	25	2	8	1	25	2	8	1	2	27	0.07407407407407407	0.0036002615480050034	false
chr1	42766676	-	45	35	2	0	45	35	2	0	35	80	0.4375	6.442129658001119e-65	true
chr1	43364126	-	28	3	1	0	28	3	1	0	3	31	0.0967741935483871	0.00014960256867486036	true
chr1	43453825	-	46	2	3	0	46	1	3	0	1	47	0.02127659574468085	0.14354858369044748	false
chr1	43453841	-	36	3	2	0	36	2	2	0	2	38	0.05263157894736842	0.007040037047473633	false
chr1	43591170	+	10	10	0	1	10	10	0	1	10	20	0.5	2.6765812409231415e-20	true
chr1	43617823	+	67	1	1	0	66	1	1	0	1	67	0.014925373134328358	0.19820084073844152	false
chr1	43667010	+	38	2	4	0	38	2	4	0	2	40	0.05	0.007777238964786111	false
chr1	43979321	+	79	3	2	0	79	3	2	0	3	82	0.036585365853658534	0.0026012836255034076	false
chr1	43979323	+	63	10	1	1	63	10	1	1	10	73	0.136986301369863	7.68040798431578e-14	true
chr1	43990843	+	44	1	1	0	44	1	1	0	1	45	0.022222222222222223	0.13788253063872796	false
chr1	45415141	+	21	4	3	1	21	4	3	1	4	25	0.16	1.4049730267517285e-6	true
chr1	45618640	+	24	2	3	0	24	2	3	0	2	26	0.07692307692307693	0.0033408579496167277	false
chr1	45630533	-	56	2	1	0	56	2	1	0	2	58	0.034482758620689655	0.01585085906110682	false
chr1	46030727	+	31	1	1	0	31	1	1	0	1	32	0.03125	0.10012832179390982	false
chr1	46188760	-	30	1	2	0	30	1	2	0	1	31	0.03225806451612903	0.09715657382936295	false
chr1	46192531	-	196	8	1	0	196	8	1	0	8	204	0.0392156862745098	5.03349065830438e-7	true
chr1	46286302	-	122	9	1	0	122	9	1	0	9	131	0.06870229007633588	7.47062935958231e-10	true
chr1	51251139	-	8	4	1	0	8	4	1	0	4	12	0.3333333333333333	5.6891319897638145e-8	true
chr1	52355798	-	70	19	1	0	70	19	1	0	19	89	0.21348314606741572	6.160275977820308e-29	true
chr1	52993624	-	70	2	14	0	70	2	14	0	2	72	0.027777777777777776	0.023780278526940635	false
chr1	53327807	-	51	3	1	0	51	3	1	0	3	54	0.05555555555555555	0.0007801938071129212	true
chr1	53327897	-	28	2	2	0	28	2	2	0	2	30	0.06666666666666667	0.00443276434494798	false
chr1	54225952	-	30	3	1	0	30	1	1	0	1	31	0.03225806451612903	0.09715657382936295	false
chr1	54731595	+	76	1	2	0	76	1	2	0	1	77	0.012987012987012988	0.22420490603508458	false
chr1	54741434	+	58	2	18	0	58	1	18	0	1	59	0.01694915254237288	0.17677139863517097	false
chr1	55101672	-	28	2	2	0	28	2	2	0	2	30	0.06666666666666667	0.00443276434494798	false
chr1	62319180	-	77	4	1	0	77	4	1	0	4	81	0.04938271604938271	0.00015954552877058933	true
chr1	68497048	-	37	0	3	0	37	0	3	0	0	37	0.0	1.0	false
chr1	87328673	+	57	7	3	0	56	7	3	0	7	63	0.1111111111111111	1.97095739517891e-9	true
chr1	88684395	+	48	1	1	0	48	1	1	0	1	49	0.02040816326530612	0.14917739801504937	false
chr1	88684397	+	51	1	1	0	51	1	1	0	1	52	0.019230769230769232	0.15755133182224934	false
chr1	92841919	+	122	51	9	11	121	5	9	1	5	126	0.03968253968253968	0.00006778615286333739	true
chr1	93909266	-	50	1	1	0	50	1	1	0	1	51	0.0196078431372549	0.15476921835482327	false
chr1	104153250	-	43	0	7	0	42	0	7	0	0	42	0.0	1.0	false
chr1	104153269	-	52	3	14	0	50	3	14	0	3	53	0.05660377358490566	0.0007386579550873613	true
chr1	108560147	+	20	1	0	1	20	1	0	1	1	21	0.047619047619047616	0.06689394444510449	false
chr1	108796237	+	79	1	1	0	79	1	1	0	1	80	0.0125	0.2318404069604909	false
chr1	109279769	-	36	3	1	0	36	3	1	0	3	39	0.07692307692307693	0.0002982397281577675	true
chr1	109281852	-	30	2	1	0	30	2	1	0	2	32	0.0625	0.005032386928409777	false
chr1	109736983	-	56	5	4	0	56	3	4	0	3	59	0.05084745762711865	0.0010101009961863197	false
chr1	109740312	-	44	2	1	0	44	2	1	0	2	46	0.043478260869565216	0.010186177956784438	false
chr1	110043844	+	36	0	1	0	36	0	1	0	0	36	0.0	1.0	false
chr1	111440654	-	75	2	1	0	75	1	1	0	1	76	0.013157894736842105	0.2216429102003099	false
chr1	111443904	-	322	29	7	0	322	27	7	0	27	349	0.07736389684813753	4.972156513126642e-28	true
chr1	111447110	-	235	9	1	0	235	9	1	0	9	244	0.036885245901639344	1.6474880276720312e-7	true
chr1	111448684	-	268	10	2	0	268	9	2	0	9	277	0.032490974729241874	4.7671233649895703e-7	true
chr1	112695551	+	59	1	1	0	59	0	1	0	0	59	0.0	1.0	false
chr1	112696690	+	46	2	1	0	46	2	1	0	2	48	0.041666666666666664	0.011053390248680172	false
chr1	112700578	+	52	1	1	0	52	1	1	0	1	53	0.018867924528301886	0.160324287843551	false
chr1	112701133	-	324	7	4	0	324	7	4	0	7	331	0.021148036253776436	0.00013420077935774176	true
chr1	112701292	-	96	2	2	0	96	1	2	0	1	97	0.010309278350515464	0.2737102861238236	false
chr1	113973076	+	45	0	1	0	45	0	1	0	0	45	0.0	1.0	false
chr1	116544584	-	43	1	1	0	43	1	1	0	1	44	0.022727272727272728	0.1350354626657898	false
chr1	116941884	+	7	0	1	0	7	0	1	0	0	7	0.0	1.0	false
chr1	117442300	+	48	0	1	0	48	0	1	0	0	48	0.0	1.0	false
chr1	117549757	+	64	0	7	0	62	0	7	0	0	62	0.0	1.0	false
chr1	117950861	+	34	2	2	0	34	0	2	0	0	34	0.0	1.0	false
chr1	119180474	+	5	0	2	0	5	0	2	0	0	5	0.0	1.0	false
chr1	119496663	-	11	5	1	0	11	5	1	0	5	16	0.3125	1.6374337022420047e-9	true
chr1	119919488	-	88	9	1	0	88	9	1	0	9	97	0.09278350515463918	4.99387504873367e-11	true
chr1	119968165	-	35	0	9	0	35	0	9	0	0	35	0.0	1.0	false
chr1	120155205	-	63	5	20	1	63	4	20	0	4	67	0.05970149253731343	0.0000762441240328973	true
chr1	145917010	-	46	2	1	0	46	2	1	0	2	48	0.041666666666666664	0.011053390248680172	false
chr1	145934930	-	31	2	4	0	31	2	4	0	2	33	0.06060606060606061	0.005345399287675507	false
chr1	145957667	-	74	2	3	0	74	2	3	0	2	76	0.02631578947368421	0.02628820835496902	false
chr1	147159441	-	40	2	1	0	40	2	1	0	2	42	0.047619047619047616	0.00854764113121742	false
chr1	150574561	-	13	0	1	0	13	0	1	0	0	13	0.0	1.0	false
chr1	150951070	+	28	2	1	0	28	2	1	0	2	30	0.06666666666666667	0.00443276434494798	false
chr1	151405131	-	44	1	1	0	44	0	1	0	0	44	0.0	1.0	false
chr1	151563930	+	39	3	1	0	39	3	1	0	3	42	0.07142857142857142	0.000371884633655124	true
chr1	153613024	-	42	0	1	0	42	0	1	0	0	42	0.0	1.0	false
chr1	154550419	-	41	2	1	0	39	2	1	0	2	41	0.04878048780487805	0.008158319393238259	false
chr1	154944960	-	28	1	1	0	28	1	1	0	1	29	0.034482758620689655	0.09118360367289804	false
chr1	154963697	-	266	14	30	2	266	13	30	2	13	279	0.04659498207885305	1.7726875049157986e-11	true
chr1	155016307	+	37	2	1	0	37	1	1	0	1	38	0.02631578947368421	0.11775451840222492	false
chr1	155017742	+	58	5	2	0	58	5	2	0	5	63	0.07936507936507936	2.3166005195894374e-6	true
chr1	155053934	+	268	6	12	0	268	6	12	0	6	274	0.021897810218978103	0.00033381620791308764	true
chr1	155057035	+	329	12	2	0	327	12	2	0	12	339	0.035398230088495575	2.3687328273973953e-9	true
chr1	155057682	+	258	90	1	0	258	89	1	0	89	347	0.2564841498559078	1.4932421243069616e-137	true
chr1	155057683	+	331	15	1	0	330	15	1	0	15	345	0.043478260869565216	1.3667674208861737e-12	true
chr1	155058310	+	233	5	3	0	233	5	3	0	5	238	0.02100840336134454	0.0012503811595283652	false
chr1	155062333	+	200	4	4	0	200	4	4	0	4	204	0.0196078431372549	0.0048825227443009146	false
chr1	155062509	+	105	1	1	0	105	1	1	0	1	106	0.009433962264150943	0.29494469841456017	false
chr1	155320662	+	88	1	3	0	87	1	3	0	1	88	0.011363636363636364	0.2518363491542157	false
chr1	155352844	-	60	1	1	0	60	1	1	0	1	61	0.01639344262295082	0.18218186425591962	false
chr1	155668657	-	50	1	20	1	50	1	20	0	1	51	0.0196078431372549	0.15476921835482327	false
chr1	155765638	-	51	1	8	0	51	1	8	0	1	52	0.019230769230769232	0.15755133182224934	false
chr1	156114877	+	618	12	25	0	618	11	25	0	11	629	0.017488076311605722	0.000010763110171045879	false
chr1	156139692	+	37	0	1	0	37	0	1	0	0	37	0.0	1.0	false
chr1	156249440	-	22	5	1	0	22	4	1	0	4	26	0.15384615384615385	1.6560605437837552e-6	true
chr1	156676769	-	15	3	1	0	15	3	1	0	3	18	0.16666666666666666	0.000028041786382374103	true
chr1	156676770	-	17	1	1	0	17	1	1	0	1	18	0.05555555555555555	0.05761887684814852	false
chr1	156742111	-	443	10	17	0	443	8	17	0	8	451	0.017738359201773836	0.00015175869574931503	false
chr1	156743366	-	503	770	1	23	503	762	1	23	762	1265	0.6023715415019762	0.0	true
chr1	156786692	+	49	2	1	0	49	0	1	0	0	49	0.0	1.0	false
chr1	156935880	-	23	0	1	0	23	0	1	0	0	23	0.0	1.0	false
chr1	158525673	+	26	1	4	0	22	1	4	0	1	23	0.043478260869565216	0.07302655235707715	false
chr1	159782172	+	73	2	3	0	73	2	3	0	2	75	0.02666666666666667	0.0256515551495508	false
chr1	160098424	-	38	1	6	0	38	1	6	0	1	39	0.02564102564102564	0.12065846734638368	false
chr1	160214580	+	49	2	3	0	49	2	3	0	2	51	0.0392156862745098	0.012412859438603279	false
chr1	160215370	+	113	3	1	0	113	3	1	0	3	116	0.02586206896551724	0.0068541421308438676	false
chr1	160216203	-	54	3	1	0	54	2	1	0	2	56	0.03571428571428571	0.014831320363009607	false
chr1	160222675	-	74	3	1	0	74	3	1	0	3	77	0.03896103896103896	0.0021750182624781936	false
chr1	160262243	-	7	2	1	0	6	2	1	0	2	8	0.25	0.00029938963491973945	false
chr1	161226535	+	36	0	1	0	36	0	1	0	0	36	0.0	1.0	false
chr1	164846643	+	54	2	1	0	54	1	1	0	1	55	0.01818181818181818	0.16584284801707777	false
chr1	165662567	-	35	2	2	0	35	1	2	0	1	36	0.027777777777777776	0.11191781872705495	false
chr1	165698493	-	45	2	1	0	45	2	1	0	2	47	0.0425531914893617	0.010615836394104218	false
chr1	167553726	-	198	8	4	0	197	7	4	0	7	204	0.03431372549019608	6.251290187794444e-6	true
chr1	169132718	+	45	6	13	0	45	4	13	0	4	49	0.08163265306122448	0.000022094081566227363	true
chr1	171784073	+	50	3	1	0	50	3	1	0	3	53	0.05660377358490566	0.0007386579550873613	true
chr1	171784392	+	76	1	2	0	76	1	2	0	1	77	0.012987012987012988	0.22420490603508458	false
chr1	171796692	+	48	2	2	0	48	1	2	0	1	49	0.02040816326530612	0.14917739801504937	false
chr1	175192646	-	39	3	3	0	39	3	3	0	3	42	0.07142857142857142	0.000371884633655124	true
chr1	179087932	+	101	5	2	0	101	5	2	0	5	106	0.04716981132075472	0.000029701856598942436	true
chr1	180873940	+	42	2	1	0	42	2	1	0	2	44	0.045454545454545456	0.009350775302913275	false
chr1	180975531	-	49	3	1	0	49	3	1	0	3	52	0.057692307692307696	0.0006985575013362088	true
chr1	183116807	+	92	7	2	0	91	7	2	0	7	98	0.07142857142857142	4.4566487534518384e-8	true
chr1	183552568	+	82	6	1	0	81	6	1	0	6	87	0.06896551724137931	5.111191558534044e-7	true
chr1	185156621	-	19	3	2	0	19	3	2	0	3	22	0.13636363636363635	0.00005240276379641267	true
chr1	186371026	-	59	5	1	0	58	1	1	0	1	59	0.01694915254237288	0.17677139863517097	false
chr1	193096604	-	33	0	1	0	33	0	1	0	0	33	0.0	1.0	false
chr1	194189298	+	11	5	2	1	10	5	1	1	5	15	0.3333333333333333	1.128829556858329e-9	true
chr1	201484271	-	491	15	4	0	491	14	4	0	14	505	0.027722772277227723	2.6094053719922313e-9	true
chr1	201485355	-	1056	35	4	0	1054	35	4	0	35	1089	0.03213957759412305	4.849995577482332e-23	true
chr1	201520052	+	10	2	1	0	10	2	1	0	2	12	0.16666666666666666	0.0006995429226950092	true
chr1	201879413	+	35	1	1	0	35	1	1	0	1	36	0.027777777777777776	0.11191781872705495	false
chr1	202134036	-	46	2	1	0	46	2	1	0	2	48	0.041666666666666664	0.011053390248680172	false
chr1	202879230	-	10	4	6	0	10	3	6	0	3	13	0.23076923076923078	9.950344746605967e-6	true
chr1	202880838	-	60	1	1	0	60	1	1	0	1	61	0.01639344262295082	0.18218186425591962	false
chr1	202951134	-	248	8	6	0	248	8	6	0	8	256	0.03125	2.7385773337339098e-6	true
chr1	203024702	+	23	2	1	0	23	1	1	0	1	24	0.041666666666666664	0.07607772532502566	false
chr1	204126734	+	47	1	2	0	47	1	2	0	1	48	0.020833333333333332	0.14636763035942127	false
chr1	205143475	-	37	0	1	0	37	0	1	0	0	37	0.0	1.0	false
chr1	206733461	+	98	2	1	0	98	2	1	0	2	100	0.02	0.043368335902089175	false
chr1	207074410	+	60	3	1	0	60	2	1	0	2	62	0.03225806451612903	0.017976966818623444	false
chr1	209623166	-	28	9	1	0	28	9	1	0	9	37	0.24324324324324326	5.1923825188205785e-15	true
chr1	214281146	+	32	0	1	0	32	0	1	0	0	32	0.0	1.0	false
chr1	214281206	+	75	15	2	0	75	15	2	0	15	90	0.16666666666666666	2.095058014735995e-21	true
chr1	214351242	-	40	3	6	0	40	3	6	0	3	43	0.06976744186046512	0.0003987954877700096	true
chr1	215567528	+	85	2	2	0	85	2	2	0	2	87	0.022988505747126436	0.033700884546495405	false
chr1	220748482	+	26	0	2	0	26	0	2	0	0	26	0.0	1.0	false
chr1	220786991	+	180	6	1	0	180	5	1	0	5	185	0.02702702702702703	0.0004044363356343565	true
chr1	224227622	-	115	13	1	0	115	13	1	0	13	128	0.1015625	7.928466148945084e-16	true
chr1	224365976	+	76	3	1	0	76	3	1	0	3	79	0.0379746835443038	0.0023398596106428693	false
chr1	224434324	-	94	2	2	0	94	2	2	0	2	96	0.020833333333333332	0.04029454663811804	false
chr1	225401503	-	26	1	8	1	26	1	8	1	1	27	0.037037037037037035	0.0851711179465615	false
chr1	225495456	-	25	2	1	1	25	2	1	1	2	27	0.07407407407407407	0.0036002615480050034	false
chr1	225652989	-	25	1	1	0	25	1	1	0	1	26	0.038461538461538464	0.08214997511698532	false
chr1	226250855	-	82	1	5	0	82	1	5	0	1	83	0.012048192771084338	0.23940075804950944	false
chr1	226977502	+	34	1	1	0	34	1	1	0	1	35	0.02857142857142857	0.10898500455091661	false
chr1	227921433	-	37	1	1	0	37	1	1	0	1	38	0.02631578947368421	0.11775451840222492	false
chr1	227921434	-	36	3	1	0	36	3	1	0	3	39	0.07692307692307693	0.0002982397281577675	true
chr1	228098911	+	748	19	3	0	748	19	3	0	19	767	0.024771838331160364	2.784902856170527e-11	true
chr1	228316077	+	28	1	1	0	28	1	1	0	1	29	0.034482758620689655	0.09118360367289804	false
chr1	228336215	+	55	1	1	0	55	1	1	0	1	56	0.017857142857142856	0.16858851215624265	false
chr1	228359549	+	9	1	1	0	9	1	1	0	1	10	0.1	0.03243214338188171	false
chr1	229431554	-	13	2	2	0	12	2	2	0	2	14	0.14285714285714285	0.0009603051460520346	true
chr1	229490008	-	150	19	1	0	150	16	1	0	16	166	0.0963855421686747	8.981327190981908e-19	true
chr1	229637755	+	38	3	1	0	38	1	1	0	1	39	0.02564102564102564	0.12065846734638368	false
chr1	230280004	+	48	2	1	0	48	1	1	0	1	49	0.02040816326530612	0.14917739801504937	false
chr1	230837313	-	42	1	3	0	42	1	3	0	1	43	0.023255813953488372	0.13217899249845172	false
chr1	231040032	-	190	5	1	0	190	5	1	0	5	195	0.02564102564102564	0.000513619051353448	true
chr1	234430277	-	108	7	1	0	107	7	1	0	7	114	0.06140350877192982	1.2660048578900428e-7	true
chr1	234604934	-	32	0	1	0	32	0	1	0	0	32	0.0	1.0	false
chr1	234606810	-	50	4	1	0	50	3	1	0	3	53	0.05660377358490566	0.0007386579550873613	true
chr1	236483512	+	7	1	3	0	4	1	3	0	1	5	0.2	0.01634972850198517	false
chr1	236483517	+	11	1	2	1	5	1	2	1	1	6	0.16666666666666666	0.019587455673072456	false
chr1	241848254	+	58	2	1	0	58	2	1	0	2	60	0.03333333333333333	0.01689955029098264	false
chr1	241993437	+	13	2	1	0	8	2	1	0	2	10	0.2	0.00047905631286790606	true
chr1	241993440	+	18	3	2	0	11	3	2	0	3	14	0.21428571428571427	0.00001263286357809756	true
chr1	244451872	-	104	1	3	0	104	1	3	0	1	105	0.009523809523809525	0.2926163145925952	false
chr1	246666598	+	40	1	1	0	40	1	1	0	1	41	0.024390243902439025	0.12643772127831837	false
chr1	248838402	+	25	1	1	0	25	1	1	0	1	26	0.038461538461538464	0.08214997511698532	false
chr1	248848275	+	87	2	5	0	87	2	5	0	2	89	0.02247191011235955	0.035126419940724185	false
chr2	1632764	-	52	1	3	0	52	1	3	0	1	53	0.018867924528301886	0.160324287843551	false
chr2	1632785	-	47	1	1	0	47	1	1	0	1	48	0.020833333333333332	0.14636763035942127	false
chr2	1632859	-	317	9	3	0	317	9	3	0	9	326	0.027607361963190184	1.8239024206012607e-6	true
chr2	1649290	-	348	172	2	1	348	171	2	1	171	519	0.32947976878612717	2.575446810887685e-284	true
chr2	3575292	+	347	10	12	0	347	9	12	0	9	356	0.025280898876404494	3.7236107944616027e-6	true
chr2	8730274	-	23	0	7	0	23	0	7	0	0	23	0.0	1.0	false
chr2	11351726	+	11	1	4	0	11	1	4	0	1	12	0.08333333333333333	0.03879124292640033	false
chr2	11815199	+	46	0	1	0	46	0	1	0	0	46	0.0	1.0	false
chr2	15593145	+	34	0	7	0	34	0	7	0	0	34	0.0	1.0	false
chr2	23971352	+	29	0	1	0	29	0	1	0	0	29	0.0	1.0	false
chr2	24067727	-	51	10	1	0	51	2	1	0	2	53	0.03773584905660377	0.013357618714564813	false
