ref	pos	strand	u	d	ur	pval	passed
chr3	142362676	+	6	85	0.07058823529411765	0.5201067365892208	false
chr3	142362679	+	4	85	0.047058823529411764	0.8360327141304839	false
chr3	142362684	+	5	85	0.058823529411764705	0.691004066054421	false
chr3	142362690	+	17	85	0.2	0.00004989832426635824	true
chr3	142362696	+	5	85	0.058823529411764705	0.691004066054421	false
chr3	149510570	+	3	22	0.13636363636363635	0.18440425747316547	false
chr3	149510580	+	5	22	0.22727272727272727	0.014251634477529678	false
chr3	149510584	+	4	22	0.18181818181818182	0.05794464126021122	false
chr3	149510588	+	3	22	0.13636363636363635	0.18440425747316547	false
chr3	150702918	-	11	20	0.55	1.3148242304509207e-8	true
chr3	150702920	-	4	20	0.2	0.042695857779650695	false
chr3	150702922	-	3	20	0.15	0.15042272061830264	false
chr3	164807475	-	82	177	0.4632768361581921	1.4400648767211542e-47	true
chr3	164807478	-	135	182	0.7417582417582418	5.995649295397492e-116	true
chr3	164807490	-	4	182	0.02197802197802198	0.9986420351873029	false
chr3	167495919	+	12	21	0.5714285714285714	1.5534567471666795e-9	true
chr3	167495920	+	13	23	0.5652173913043478	3.8284298932411457e-10	true
chr3	167525861	+	25	59	0.423728813559322	1.8592183685018983e-14	true
chr3	167525871	+	9	101	0.0891089108910891	0.24609002406052757	false
chr3	167525908	+	3	51	0.058823529411764705	0.6809751930520428	false
chr3	176077627	-	28	29	0.9655172413793104	5.112350061662788e-32	true
chr3	181120688	+	4	27	0.14814814814814814	0.10681117094426498	false
chr3	181120693	+	3	27	0.1111111111111111	0.27588911257752774	false
chr3	181120703	+	10	27	0.37037037037037035	5.90691886212773e-6	true
chr3	181120705	+	14	27	0.5185185185185185	3.7299882134984597e-10	true
chr3	181120709	+	3	27	0.1111111111111111	0.27588911257752774	false
chr3	188961729	+	5	24	0.20833333333333334	0.020557529325526472	false
chr3	188961736	+	3	24	0.125	0.2201405715448994	false
chr3	188961742	+	13	23	0.5652173913043478	3.8284298932411457e-10	true
chr3	188961743	+	8	24	0.3333333333333333	0.00012234478159782558	true
chr3	188961744	+	4	24	0.16666666666666666	0.07571183103686135	false
chr3	188961747	+	3	24	0.125	0.2201405715448994	false
chr3	188961748	+	3	24	0.125	0.2201405715448994	false
chr4	2719740	+	23	37	0.6216216216216216	3.139950896616227e-18	true
chr4	12067988	-	5	30	0.16666666666666666	0.049349420695841736	false
chr4	12067990	-	4	30	0.13333333333333333	0.14269103702373254	false
chr4	15978967	-	12	37	0.32432432432432434	3.5070193263853962e-6	true
chr4	22675385	+	8	20	0.4	0.00002679130778332082	true
chr4	29449933	-	8	64	0.125	0.06697209212411652	false
chr4	29449938	-	6	76	0.07894736842105263	0.41180804778016833	false
chr4	30063055	-	12	24	0.5	1.1782390656294675e-8	true
chr4	38838870	-	44	101	0.43564356435643564	6.631605355589465e-25	true
chr4	38838872	-	44	101	0.43564356435643564	6.631605355589465e-25	true
chr4	38838873	-	42	101	0.4158415841584158	6.98837027393874e-23	true
chr4	38838874	-	9	102	0.08823529411764706	0.25502442735530684	false
chr4	38838875	-	3	102	0.029411764705882353	0.9723337382546354	false
chr4	41468316	+	3	48	0.0625	0.6404126006428689	false
chr4	41468324	+	5	56	0.08928571428571429	0.3301143748539254	false
chr4	66916835	-	29	68	0.4264705882352941	1.2555789389993904e-16	true
chr4	90432534	+	3	28	0.10714285714285714	0.29480271199918573	false
chr4	90432538	+	3	29	0.10344827586206896	0.31379008397832125	false
chr4	92203957	-	12	39	0.3076923076923077	6.515661470529429e-6	true
chr4	99308060	+	18	22	0.8181818181818182	5.1500863589838105e-18	true
chr4	99308061	+	22	22	1.0	1.940858785267978e-26	true
chr4	99308071	+	22	22	1.0	1.940858785267978e-26	true
chr4	107777915	-	7	31	0.22580645161290322	0.004068847456695957	false
chr4	107777916	-	6	31	0.1935483870967742	0.01643766032196374	false
chr4	108312169	-	26	32	0.8125	2.479673020490512e-25	true
chr4	108312171	-	17	32	0.53125	2.8430000387698894e-12	true
chr4	108312174	-	18	32	0.5625	1.710697136210182e-13	true
chr4	108312175	-	7	32	0.21875	0.004907535536745257	false
chr4	110299654	-	6	29	0.20689655172413793	0.01190361490347034	false
chr4	110299655	-	15	28	0.5357142857142857	4.70178218775557e-11	true
chr4	110299656	-	9	29	0.3103448275862069	0.00008687710463906045	true
chr4	110299659	-	3	29	0.10344827586206896	0.31379008397832125	false
chr4	110299670	-	3	29	0.10344827586206896	0.31379008397832125	false
chr4	124744696	-	4	23	0.17391304347826086	0.06651944741830552	false
chr4	124744711	-	3	23	0.13043478260869565	0.2020869789813946	false
chr4	124744712	-	3	22	0.13636363636363635	0.18440425747316547	false
chr4	138865589	-	43	50	0.86	3.4340009629321505e-43	true
chr4	138865594	-	7	50	0.14	0.050693784012208316	false
chr4	177184817	-	50	106	0.4716981132075472	4.1336823217016336e-30	true
chr4	177184818	-	33	106	0.3113207547169811	5.6150822466724155e-14	true
chr4	187360318	-	142	183	0.7759562841530054	8.466554913394516e-127	true
chr4	187360324	-	43	206	0.2087378640776699	3.7497777371443977e-11	true
chr4	187360325	-	26	206	0.1262135922330097	0.0017327040255672493	false
chr4	187360326	-	5	206	0.024271844660194174	0.9985782366774415	false
chr4	187360393	-	3	53	0.05660377358490566	0.7060635829039751	false
chr4	187360395	-	3	52	0.057692307692307696	0.6937137719565748	false
chr4	187360397	-	4	46	0.08695652173913043	0.380295254582255	false
chr4	188216015	+	6	30	0.2	0.014043696541589337	false
chr4	188216018	+	4	31	0.12903225806451613	0.15558176763715562	false
chr4	188216028	+	3	31	0.0967741935483871	0.3517888736481773	false
chr4	188216029	+	9	31	0.2903225806451613	0.0001544857716604179	true
chr4	188216030	+	10	31	0.3225806451612903	0.000024146299413127774	true
chr5	19314447	-	6	36	0.16666666666666666	0.0326366074080769	false
chr5	21744450	-	9	24	0.375	0.000015478429644587275	true
chr5	21744451	-	8	22	0.36363636363636365	0.000060139548203506917	true
chr5	21744453	-	14	25	0.56	9.442119960323695e-11	true
chr5	21744465	-	5	25	0.2	0.024297359163087638	false
chr5	50523614	-	42	186	0.22580645161290322	4.314695848659951e-12	true
chr5	50523615	-	76	186	0.40860215053763443	1.897669350593513e-39	true
chr5	59143144	+	3	42	0.07142857142857142	0.5488909737646379	false
chr5	59143145	+	6	42	0.14285714285714285	0.06251386770059139	false
chr5	59143146	+	8	42	0.19047619047619047	0.0065800271704042484	false
chr5	59143152	+	3	42	0.07142857142857142	0.5488909737646379	false
chr5	59143156	+	4	42	0.09523809523809523	0.3174219932912279	false
chr5	59143157	+	18	42	0.42857142857142855	6.624441262856622e-11	true
chr5	59143158	+	11	42	0.2619047619047619	0.00008285092312530716	true
chr5	60257262	-	5	21	0.23809523809523808	0.011651305955704062	false
chr5	68632960	-	3	57	0.05263157894736842	0.751643573113576	false
chr5	68632961	-	7	55	0.12727272727272726	0.0772378549404739	false
chr5	68632966	-	3	47	0.06382978723404255	0.6261100815473134	false
chr5	84141558	-	6	20	0.3	0.001641480588153138	false
chr5	84141559	-	6	20	0.3	0.001641480588153138	false
chr5	84141562	-	3	20	0.15	0.15042272061830264	false
chr5	97823551	+	4	96	0.041666666666666664	0.8970602672359085	false
chr5	97823553	+	4	99	0.04040404040404041	0.9097824576674087	false
chr5	97823555	+	7	88	0.07954545454545454	0.38813897276385156	false
chr5	97823563	+	18	108	0.16666666666666666	0.00034621324268574845	true
chr5	97823567	+	6	108	0.05555555555555555	0.7480860521398458	false
chr5	97823569	+	38	108	0.35185185185185186	6.9076550581081894e-18	true
chr5	97823571	+	6	108	0.05555555555555555	0.7480860521398458	false
chr5	97823575	+	11	108	0.10185185185185185	0.11538954234464142	false
chr5	97823576	+	3	108	0.027777777777777776	0.9799350124751135	false
chr5	139257436	+	13	36	0.3611111111111111	3.337270739121655e-7	true
chr5	139257439	+	8	36	0.2222222222222222	0.002422899235435988	false
chr5	147260150	+	3	32	0.09375	0.370709868935749	false
chr5	147260156	+	12	30	0.4	2.5634197631188664e-7	true
chr5	147260157	+	11	32	0.34375	4.702949559441192e-6	true
chr5	147260161	+	5	32	0.15625	0.062452706685682265	false
chr5	147260169	+	3	32	0.09375	0.370709868935749	false
chr5	147260173	+	3	32	0.09375	0.370709868935749	false
chr5	147702688	-	7	74	0.0945945945945946	0.23519768457976922	false
chr5	147702693	-	9	74	0.12162162162162163	0.062380831453478065	false
chr5	147702698	-	10	74	0.13513513513513514	0.027482995361912406	false
chr5	147702718	-	4	74	0.05405405405405406	0.7472957760822438	false
chr5	151472661	-	41	46	0.8913043478260869	1.1760610667819576e-42	true
chr5	154166936	-	6	28	0.21428571428571427	0.010003684922470864	false
chr6	16970130	-	9	24	0.375	0.000015478429644587275	true
chr6	16970131	-	15	25	0.6	4.995610995319696e-12	true
chr6	16970146	-	3	25	0.12	0.238499958968105	false
chr6	24238078	-	12	25	0.48	2.124730979842125e-8	true
chr6	24238094	-	3	70	0.04285714285714286	0.86158728979579	false
chr6	25188505	-	16	51	0.3137254901960784	1.4396593534457722e-7	true
chr6	25188510	-	23	53	0.4339622641509434	1.0972601824253834e-13	true
chr6	25188516	-	8	53	0.1509433962264151	0.025617622546835445	false
chr6	44443068	+	3	21	0.14285714285714285	0.16715976435321728	false
chr6	50708203	-	26	65	0.4	2.9702946956302447e-14	true
chr6	51815452	-	26	27	0.9629629629629629	1.0354328215212634e-29	true
chr6	61961357	-	20	36	0.5555555555555556	1.0615553677256159e-14	true
chr6	61961360	-	7	36	0.19444444444444445	0.009603265932809038	false
chr6	61961362	-	7	38	0.18421052631578946	0.012902782706650559	false
chr6	61961364	-	26	38	0.6842105263157895	4.942382797062895e-22	true
chr6	61961366	-	6	38	0.15789473684210525	0.04127168763790845	false
chr6	69274582	+	11	49	0.22448979591836735	0.000362923862103149	true
chr6	69274588	+	7	49	0.14285714285714285	0.04619297719296997	false
chr6	69274590	+	3	50	0.06	0.6678459134608664	false
chr6	69274591	+	3	50	0.06	0.6678459134608664	false
chr6	69274598	+	5	50	0.1	0.2498959968165958	false
chr6	91390764	-	3	21	0.14285714285714285	0.16715976435321728	false
chr6	102848060	-	15	81	0.18518518518518517	0.0003289150925685449	true
chr6	112003723	-	74	91	0.8131868131868132	1.1569987188553112e-69	true
chr6	112003736	-	5	117	0.042735042735042736	0.9044879484292163	false
chr6	132401771	-	18	26	0.6923076923076923	8.436190306202673e-16	true
chr6	132401772	-	18	27	0.6666666666666666	2.3685335764904162e-15	true
chr6	132401775	-	4	27	0.14814814814814814	0.10681117094426498	false
chr6	134324609	+	19	20	0.95	1.1649015032755166e-21	true
chr6	134324616	+	18	20	0.9	1.5275460693824625e-19	true
chr6	134324619	+	3	20	0.15	0.15042272061830264	false
chr6	149800833	+	18	28	0.6428571428571429	6.206624508817066e-15	true
chr6	149800837	+	3	28	0.10714285714285714	0.29480271199918573	false
chr6	149800838	+	20	28	0.7142857142857143	7.69377307394232e-18	true
chr6	149800839	+	4	28	0.14285714285714285	0.1182757840637082	false
chr6	149800841	+	20	28	0.7142857142857143	7.69377307394232e-18	true
chr7	2874574	-	17	24	0.7083333333333334	2.949674546170235e-15	true
chr7	18980685	+	4	31	0.12903225806451613	0.15558176763715562	false
chr7	18980691	+	3	31	0.0967741935483871	0.3517888736481773	false
chr7	18980697	+	3	31	0.0967741935483871	0.3517888736481773	false
chr7	18980698	+	3	31	0.0967741935483871	0.3517888736481773	false
chr7	18980701	+	4	31	0.12903225806451613	0.15558176763715562	false
chr7	28535609	-	12	31	0.3870967741935484	3.9226497265719076e-7	true
chr7	28535614	-	3	33	0.09090909090909091	0.389523762802753	false
chr7	28535615	-	4	33	0.12121212121212122	0.18257093026571025	false
chr7	44596996	-	3	26	0.11538461538461539	0.2571026746182763	false
chr7	44596997	-	3	26	0.11538461538461539	0.2571026746182763	false
chr7	44596999	-	4	26	0.15384615384615385	0.09587913898345996	false
chr7	44597002	-	14	26	0.5384615384615384	1.916767924682255e-10	true
chr7	44597005	-	4	26	0.15384615384615385	0.09587913898345996	false
chr7	44597007	-	6	26	0.23076923076923078	0.006866137116043466	false
chr7	44597013	-	10	26	0.38461538461538464	3.961048953030083e-6	true
chr7	63797840	+	4	35	0.11428571428571428	0.21095091005628938	false
chr7	63797851	+	13	45	0.28888888888888886	5.9089674805520184e-6	true
chr7	63797852	+	28	45	0.6222222222222222	6.586896631003696e-22	true
chr7	63797856	+	3	45	0.06666666666666667	0.5963467419943286	false
chr7	68449188	+	6	42	0.14285714285714285	0.06251386770059139	false
chr7	68449203	+	24	46	0.5217391304347826	1.604474200001809e-16	true
chr7	68449204	+	13	42	0.30952380952380953	2.5045253117989786e-6	true
chr7	68449208	+	6	42	0.14285714285714285	0.06251386770059139	false
chr7	70845715	-	4	88	0.045454545454545456	0.8551475184629198	false
chr7	70845718	-	5	90	0.05555555555555555	0.7379755450145076	false
chr7	70845719	-	5	89	0.056179775280898875	0.7290208575892441	false
chr7	70845720	-	17	88	0.19318181818181818	0.00007885015784280078	true
chr7	70845721	-	14	90	0.15555555555555556	0.002929004494979639	false
chr7	70845723	-	17	88	0.19318181818181818	0.00007885015784280078	true
chr7	70845725	-	8	90	0.08888888888888889	0.26571707982697845	false
chr7	70845726	-	10	90	0.1111111111111111	0.08379661654842678	false
chr7	70845728	-	9	90	0.1	0.15630649182590842	false
chr7	70845734	-	6	90	0.06666666666666667	0.5767911713597645	false
chr7	70845735	-	4	90	0.044444444444444446	0.8668088137962966	false
chr7	70845736	-	3	90	0.03333333333333333	0.9482421638695293	false
chr7	70845739	-	4	90	0.044444444444444446	0.8668088137962966	false
chr7	70845740	-	7	90	0.07777777777777778	0.41069597423667753	false
chr7	70845741	-	3	90	0.03333333333333333	0.9482421638695293	false
chr7	71680384	+	14	89	0.15730337078651685	0.00263506556713013	false
chr7	71680388	+	5	89	0.056179775280898875	0.7290208575892441	false
chr7	71680390	+	3	92	0.03260869565217391	0.9532966915379693	false
chr7	71680391	+	4	93	0.043010752688172046	0.8827824549875298	false
chr7	71680392	+	18	93	0.1935483870967742	0.000047988429208255785	true
chr7	71680395	+	4	95	0.042105263157894736	0.8924807055267252	false
chr7	71680396	+	10	94	0.10638297872340426	0.10447925244375951	false
chr7	71680402	+	7	87	0.08045977011494253	0.37686264728319013	false
chr7	71680404	+	17	87	0.19540229885057472	0.00006788298990839801	true
chr7	71680407	+	6	87	0.06896551724137931	0.5431637585019793	false
chr7	71680410	+	5	87	0.05747126436781609	0.7104522581171453	false
chr7	77767716	+	5	167	0.029940119760479042	0.9898584929627587	false
chr7	77767720	+	32	167	0.19161676646706588	9.159810339500679e-8	true
chr7	77767723	+	8	167	0.04790419161676647	0.8850624273997343	false
chr7	77767727	+	9	167	0.05389221556886228	0.804910843799076	false
chr7	77767731	+	8	167	0.04790419161676647	0.8850624273997343	false
chr7	77767732	+	22	167	0.1317365269461078	0.0021928456123069444	false
chr7	77767733	+	15	167	0.08982035928143713	0.16300939948705592	false
chr7	77767735	+	10	167	0.059880239520958084	0.7019118017880234	false
chr7	77767736	+	12	167	0.0718562874251497	0.4606438349377999	false
chr7	77767737	+	4	167	0.023952095808383235	0.9969299199075995	false
chr7	77767741	+	4	167	0.023952095808383235	0.9969299199075995	false
chr7	77767742	+	5	167	0.029940119760479042	0.9898584929627587	false
chr7	77767747	+	6	167	0.03592814371257485	0.9730901123860902	false
chr7	77767748	+	5	167	0.029940119760479042	0.9898584929627587	false
chr7	121603269	+	8	161	0.049689440993788817	0.8604047486191149	false
chr7	121603271	+	11	170	0.06470588235294118	0.6074029529462546	false
chr7	121603279	+	4	171	0.023391812865497075	0.9975255571271265	false
chr7	121603282	+	6	171	0.03508771929824561	0.9773768273484584	false
chr7	121603283	+	37	171	0.21637426900584794	2.841348537519242e-10	true
chr7	121603286	+	33	171	0.19298245614035087	4.879199165626488e-8	true
chr7	121603287	+	14	171	0.08187134502923976	0.27140009957186556	false
chr7	121603290	+	12	171	0.07017543859649122	0.4938377806191561	false
chr7	121603291	+	9	170	0.052941176470588235	0.820870577647515	false
chr7	121603298	+	4	171	0.023391812865497075	0.9975255571271265	false
chr7	121603302	+	5	171	0.029239766081871343	0.9916503973744113	false
chr7	121603303	+	10	171	0.05847953216374269	0.7292149650396094	false
chr7	121603306	+	6	171	0.03508771929824561	0.9773768273484584	false
chr7	121603362	+	3	84	0.03571428571428571	0.9298598373988793	false
chr7	121603366	+	3	61	0.04918032786885246	0.7913576261521671	false
chr7	126673235	+	25	25	1.0	6.05077902713497e-30	true
chr7	130079826	+	5	76	0.06578947368421052	0.5928870677513385	false
chr7	130079829	+	3	110	0.02727272727272727	0.981991751075449	false
chr7	130079833	+	6	110	0.05454545454545454	0.7635711966158203	false
chr7	130079834	+	15	110	0.13636363636363635	0.007484285652363734	false
chr7	130079838	+	6	110	0.05454545454545454	0.7635711966158203	false
chr7	130079840	+	7	110	0.06363636363636363	0.6232746731889093	false
chr7	130079846	+	16	110	0.14545454545454545	0.003094186695704942	false
chr7	130079848	+	14	110	0.12727272727272726	0.01691463697908209	false
chr7	130079849	+	34	110	0.3090909090909091	2.986096300436592e-14	true
chr7	130079852	+	13	110	0.11818181818181818	0.035626529356290355	false
chr7	130079853	+	5	110	0.045454545454545456	0.8737866261334835	false
chr7	130079854	+	13	110	0.11818181818181818	0.035626529356290355	false
chr7	130079856	+	7	110	0.06363636363636363	0.6232746731889093	false
chr7	130396131	+	24	27	0.8888888888888888	2.132937461870044e-25	true
chr7	130396132	+	6	23	0.2608695652173913	0.0035859953632881875	false
chr7	145058193	-	22	23	0.9565217391304348	4.174448206137638e-25	true
chr7	145058194	-	23	25	0.92	3.4516900854981338e-25	true
chr7	145531567	-	19	21	0.9047619047619048	1.1443695466073653e-20	true
chr7	145531575	-	35	37	0.9459459459459459	7.223986419472878e-39	true
chr7	146708585	-	4	29	0.13793103448275862	0.1302454881800137	false
chr7	146708587	-	8	29	0.27586206896551724	0.000525892509348326	true
chr7	152721079	-	17	27	0.6296296296296297	5.897197129202228e-14	true
chr7	152740102	+	27	48	0.5625	1.5024933828227392e-19	true
chr7	152785366	-	4	23	0.17391304347826086	0.06651944741830552	false
chr7	152785368	-	18	42	0.42857142857142855	6.624441262856622e-11	true
chr7	152785372	-	60	152	0.39473684210526316	1.6748004446165667e-30	true
chr7	152785375	-	77	153	0.5032679738562091	3.866862998639191e-48	true
chr7	152785377	-	26	153	0.16993464052287582	0.000013659267127532663	true
chr7	152785379	-	6	153	0.0392156862745098	0.951509728249569	false
chr7	152785380	-	8	153	0.05228758169934641	0.8210646628249413	false
chr8	7895871	-	3	21	0.14285714285714285	0.16715976435321728	false
chr8	9347423	-	12	39	0.3076923076923077	6.515661470529429e-6	true
